date,city,precipitation,sunshine,templature
1916-09-01,Tokyo,170.6,170.9,23.7
1916-10-01,Tokyo,301.5,87.5,15.8
1916-11-01,Tokyo,267.9,134.5,11.3
1916-12-01,Tokyo,51.1,157.5,6.8
1917-01-01,Tokyo,33,213.9,2.3
1917-02-01,Tokyo,15.5,202.3,4.5
1917-03-01,Tokyo,170.2,187.4,6.5
1917-04-01,Tokyo,80.5,210.9,12.7
1917-05-01,Tokyo,72.3,238.3,15.8
1917-06-01,Tokyo,177.4,152,19.6
1917-07-01,Tokyo,17,240.7,25.7
1917-08-01,Tokyo,45.3,186.8,25
1917-09-01,Tokyo,255.4,85.3,22
1917-10-01,Tokyo,355.2,112.2,16.8
1917-11-01,Tokyo,81.7,184.9,8.7
1917-12-01,Tokyo,4.4,231,4
1918-01-01,Tokyo,10,219.2,1.6
1918-02-01,Tokyo,64.9,168.1,3.6
1918-03-01,Tokyo,162.9,202.1,6.7
1918-04-01,Tokyo,107.9,168.9,11.7
1918-05-01,Tokyo,123.2,207.9,16.7
1918-06-01,Tokyo,148.8,119.3,20.1
1918-07-01,Tokyo,82.2,270,26
1918-08-01,Tokyo,78.1,243.4,26.1
1918-09-01,Tokyo,202.5,185.3,22.6
1918-10-01,Tokyo,134.8,105.4,16
1918-11-01,Tokyo,141.6,159.2,10.4
1918-12-01,Tokyo,79.6,158.2,3.9
1919-01-01,Tokyo,85.1,147.5,2.8
1919-02-01,Tokyo,142.4,159.5,3.7
1919-03-01,Tokyo,93,190.3,8.3
1919-04-01,Tokyo,53.5,214.2,13.4
1919-05-01,Tokyo,90.8,224.4,16.2
1919-06-01,Tokyo,118.6,151.4,19.8
1919-07-01,Tokyo,177.5,189.2,23.6
1919-08-01,Tokyo,95.5,214,25
1919-09-01,Tokyo,248.4,165.7,22.7
1919-10-01,Tokyo,162.8,140.6,16.4
1919-11-01,Tokyo,178.4,101.6,11.4
1919-12-01,Tokyo,88.2,194.6,5.3
1920-01-01,Tokyo,62.6,223.5,4.1
1920-02-01,Tokyo,111.4,148.7,2.6
1920-03-01,Tokyo,128.3,157.1,6.6
1920-04-01,Tokyo,194.5,191.2,12.6
1920-05-01,Tokyo,259.6,162.4,16.8
1920-06-01,Tokyo,218.9,134.6,20.3
1920-07-01,Tokyo,117.9,269.1,26.1
1920-08-01,Tokyo,325.1,207.3,25.7
1920-09-01,Tokyo,369.8,153.8,21.4
1920-10-01,Tokyo,240.9,168.7,16.4
1920-11-01,Tokyo,65.9,169.7,12
1920-12-01,Tokyo,98.8,185.5,5.2
1921-01-01,Tokyo,56.5,202,4
1921-02-01,Tokyo,86.2,207.1,3.5
1921-03-01,Tokyo,99.3,209.1,6.2
1921-04-01,Tokyo,136.8,174.8,13.8
1921-05-01,Tokyo,269.4,180,16.4
1921-06-01,Tokyo,206.5,109.1,18.8
